RCV,city,city_ascii,city_alt,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,population_proper,density,source,military,incorporated,township,timezone,ranking,zips,id,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran
,Deming,Deming,,NM,New Mexico,35029,Luna,35029,Luna,32.2631,-107.7525,14228,14183,327,polygon,FALSE,TRUE,FALSE,America/Denver,3,88030 88031,1840019458,33.6,19.3,11.8,13.8,12.4,7.9,9.9,10.6,8.1,6.2,49.2,50.8,40.5,18.4,32.8,8.4,3.64,36.1,25428,7.7,12.3,10,9.1,9.9,12.2,10.3,15.2,5.6,5.5,2.2,7.7,15149,50.6,87033,367,12.9,34.3,29.9,20.6,8.8,6.3,15.1,37.9,51.1,11.7,90.7,2.1,0.6,1.3,0,5.1,0.2,71.6,18.6,34.3,12.6,15.2,13.6,7.5
,Alamogordo,Alamogordo,,NM,New Mexico,35035,Otero,35035,Otero,32.8837,-105.9624,32745,31248,564,polygon,FALSE,TRUE,FALSE,America/Denver,3,88310,1840019403,37,12,11.6,16.8,13.1,10.6,13.2,10.9,8.2,4,50.1,49.9,47,15.5,30.6,6.9,3.2,45.4,45531,4,4.1,5.8,7.2,5.4,12.5,16.3,20.4,13,8.8,2.5,11.3,22391,57.6,113506,721,16.1,10.1,29.5,40.2,11.5,8.6,20.1,42.7,60.6,7.6,79.1,4.5,1.9,1.7,0.2,7.8,4.8,34.4,16.2,17.3,3.5,16,8.6,20.2
,Chaparral,Chaparral,,NM,New Mexico,35013,Doña Ana,35013|35035,Doña Ana|Otero,32.0442,-106.4061,14652,14652,95,polygon,FALSE,FALSE,FALSE,America/Denver,3,88081,1840018050,29.4,15.5,21.6,13.3,9.9,12.5,13.9,8.2,3.8,1.3,46.8,53.2,51.3,12.2,32.1,4.4,3.99,39.7,24917,4.4,10.3,13.6,14.7,7.2,12.9,9.7,15.5,8.7,2.1,0.9,3,15569,78.3,71887,476,20.9,41.7,24.6,24,7.3,2.4,9.7,38.3,56.8,12.1,82.6,0,0.2,0.4,0.2,15,1.6,84.7,13.7,45.6,23.1,27.9,21.9,5
,Las Vegas,Las Vegas,,NM,New Mexico,35047,San Miguel,35047,San Miguel,35.6011,-105.2206,14982,13201,651,polygon,FALSE,TRUE,FALSE,America/Denver,3,87701,1840020397,37.1,11.1,15.8,15.3,10.6,11,14.9,10.6,6.2,4.5,49.8,50.2,22.4,18.4,51.4,7.9,3.51,27.8,24890,8.4,15.3,14.4,6.2,5.9,11,12.7,13.5,4.4,5.8,2.5,8.3,15339,57.8,111654,468,15.5,22.2,26.2,28.9,13,9.7,22.7,44,42,7.1,55.9,2.2,1.2,2.2,0.1,34.6,3.8,78,32.1,36.3,13.5,12.8,10.1,7
,Los Lunas,Los Lunas,,NM,New Mexico,35061,Valencia,35061,Valencia,34.8115,-106.7803,66613,15501,319,polygon,FALSE,TRUE,FALSE,America/Denver,3,87031,1840022814,37.5,13.1,16,11.8,12.1,12.4,14,10.9,7.3,2.5,48.8,51.2,50.5,17.4,27.2,4.9,3.23,40.2,52738,3.1,4.4,3.8,5.6,3,12.1,14.2,24,10.7,13.8,5.2,19,27289,75.2,150632,1063,20.9,14.2,29.8,35.3,14.3,6.4,20.7,39.9,58.1,7.2,83.4,2.4,1.3,3.2,0,6.2,3.6,56.2,17.8,13.4,2.4,22.8,6.1,10.9
,Hobbs,Hobbs,,NM,New Mexico,35025,Lea,35025,Lea,32.7282,-103.16,40614,37764,552,polygon,FALSE,TRUE,FALSE,America/Denver,3,88240,1840020616,31.1,17.5,16.1,14.5,14.8,10.5,11.9,7.2,4.6,2.8,52.2,47.8,47.3,12.9,34.1,5.7,3.63,47.5,57906,3.4,4.8,7.2,4.2,6.2,7.1,11.3,20.2,12.9,13.5,9.1,22.6,25574,62.4,122782,604,10.9,27.3,30.2,27.7,8.8,5.9,14.7,37.6,59.9,6.2,85.2,6.2,0,1.1,0.1,4.7,2.6,56.9,12.1,19.7,6.8,18.1,16.3,5.8
,South Valley,South Valley,,NM,New Mexico,35001,Bernalillo,35001,Bernalillo,35.0093,-106.6819,41391,41391,550,polygon,FALSE,FALSE,FALSE,America/Denver,3,87105 87195,1840033724,39.6,11.8,14.9,12.2,11.5,12.5,15.3,12.2,6.3,3.4,49.7,50.3,42.4,14.7,35.5,7.4,3.6,44.6,38447,4.7,5.8,5.8,9.3,9.1,11.6,15.1,16.3,10.6,8.6,3.2,11.8,20904,74,137713,762,21,26.3,33.7,27.2,8.1,4.8,12.9,40,56.1,9.6,74.7,1.3,0.5,2.7,0,18.8,2,80.5,19.3,26.7,10.6,24.6,14.5,7.9
,Clovis,Clovis,,NM,New Mexico,35009,Curry,35009,Curry,34.4376,-103.1923,42875,38962,637,polygon,FALSE,TRUE,FALSE,America/Denver,3,88101 88102,1840019195,30.9,15.9,13.7,18.6,13.3,11.3,10.6,8.8,5,2.9,51.6,48.4,42.9,16.9,34.9,5.3,3.3,43,40576,5.4,5.7,6.8,5.8,6.8,13.8,15,16.9,12,8.4,3.4,11.8,22641,56.6,125990,741,18,17.6,26.4,35.9,12.7,7.4,20.1,41.9,62.8,8.8,65.1,6.6,1.5,0.8,0.2,21.2,4.6,44.1,16.5,24.2,4.7,14.2,13.8,15.8
,Sunland Park,Sunland Park,,NM,New Mexico,35013,Doña Ana,35013,Doña Ana,31.8194,-106.5943,17061,17061,506,polygon,FALSE,TRUE,FALSE,America/Denver,3,88063 88008,1840033664,28.9,17.2,20.3,13.6,13.2,12,9.8,6.2,5,2.8,47.5,52.5,48.2,11.5,35.2,5.1,4.02,46.5,28231,4.6,8.9,10.7,12.2,9.7,13.6,12.9,16.2,5.1,4.2,1.7,5.9,15441,64.7,101007,464,17.4,39.3,26.2,21.7,10.3,2.6,12.9,26,61.2,11,90.9,0.4,0.2,0.3,0,8.2,0.1,95.3,10.8,38,30.8,22.9,21.7,2.2
,Artesia,Artesia,,NM,New Mexico,35015,Eddy,35015,Eddy,32.8492,-104.4275,13464,11921,418,polygon,FALSE,TRUE,FALSE,America/Denver,3,88210 88211,1840019443,34.6,16.5,14.5,11,14.4,9.1,10,12.8,7.7,4.1,51,49,52.8,14,26.9,6.3,3.03,45.8,49132,4.3,5.1,1.6,5.7,7.1,9.1,18.2,17,10.1,11.9,9.9,21.8,30493,65.1,150825,646,12.2,14.4,38.6,30.8,10.3,5.8,16.1,31.7,60.8,6.4,90.8,1.6,1.3,2.3,0,3.5,0.5,48,12,19.8,2.8,14.4,8,10.4
