RCV,city,city_ascii,city_alt,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,population_proper,density,source,military,incorporated,township,timezone,ranking,zips,id,age_median,age_under_10,age_10_to_19,age_20s,age_30s,age_40s,age_50s,age_60s,age_70s,age_over_80,male,female,married,divorced,never_married,widowed,family_size,family_dual_income,income_household_median,income_household_under_5,income_household_5_to_10,income_household_10_to_15,income_household_15_to_20,income_household_20_to_25,income_household_25_to_35,income_household_35_to_50,income_household_50_to_75,income_household_75_to_100,income_household_100_to_150,income_household_150_over,income_household_six_figure,income_individual_median,home_ownership,home_value,rent_median,rent_burden,education_less_highschool,education_highschool,education_some_college,education_bachelors,education_graduate,education_college_or_above,education_stem_degree,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple,hispanic,disabled,poverty,limited_english,commute_time,health_uninsured,veteran
,Colchester,Colchester,,VT,Vermont,50007,Chittenden,50007,Chittenden,44.5545,-73.2167,17309,17309,183,polygon,FALSE,FALSE,TRUE,America/New_York,3,05439 05446 05449 05466,1840070411,36.6,9.5,16.2,17,10.6,14,15.5,10.3,4.8,2,47.9,52.1,42.6,12.8,40.9,3.7,2.82,65,68021,1.9,1.6,4.4,3.8,3.4,9.4,11.6,18.9,14.6,16.5,14,30.5,28740,68.7,263702,1387,19.5,4.5,24.5,30.6,23.3,17.1,40.4,52.2,70.9,2.5,94.6,1.5,1.9,0.1,0,0.1,1.8,1.7,9.2,11.3,0.2,20.3,3.6,6.7
,Brattleboro,Brattleboro,,VT,Vermont,50025,Windham,50025,Windham,42.8618,-72.6145,11646,11646,141,polygon,FALSE,FALSE,TRUE,America/New_York,3,05301 05302 05303 05304,1840070391,44.9,10,10.6,12.6,13,10.7,15.9,15.2,7,4.9,47.4,52.6,39.9,21.7,32,6.3,2.65,51.1,44359,3.3,6.2,7.6,8,5.9,11.4,11.9,15.6,15.9,8.1,6,14.1,25489,48.6,208938,1329,21.2,7.2,26.2,25.7,21.4,19.4,40.8,36.4,63.7,8.8,92.3,0.9,2.5,0,0,0.2,4.1,2.8,18.4,20.2,0.5,16.4,4.5,7.9
,Sanford,Sanford,,ME,Maine,23031,York,23031,York,43.4244,-70.7573,29264,21028,169,polygon,FALSE,FALSE,FALSE,America/New_York,3,04073 04083,1840002672,40.4,12.5,12.1,12.4,12.4,11.3,16.6,11.5,7,4.1,47.5,52.5,45.5,18.6,29,6.9,2.95,48.5,45563,2.6,6,5.8,7.8,4.8,13.2,14.4,18.6,11.1,11.5,4.3,15.8,24881,59.6,165370,1141,21.9,10.3,38.6,32.6,13.3,5.2,18.5,42.7,64.1,6.7,93.7,0.6,2.8,0.5,0,0.2,2.2,1.3,17.8,17.2,2.1,28.1,8,11.5
,Westbrook,Westbrook,,ME,Maine,23005,Cumberland,23005,Cumberland,43.6954,-70.3539,18730,18730,420,polygon,FALSE,TRUE,FALSE,America/New_York,3,04092 04098,1840000329,41.7,11.1,9.7,13.5,13.6,14.3,15.1,11.7,6.3,4.6,49.3,50.7,47.2,13.9,33.3,5.6,2.87,56.8,51062,4,4.8,6.9,7.8,3.1,8.6,13.2,17.7,13,15,5.9,20.9,30704,62.5,215930,1274,21.4,7.6,33.4,29.1,21,8.9,29.9,46.6,67.4,5.4,92.9,2.5,1,0.2,0,0.4,3,3.3,15.2,17,1.7,21.9,7.2,5.3
,Lewiston,Lewiston,,ME,Maine,23001,Androscoggin,23001,Androscoggin,44.0915,-70.1681,58796,36221,409,polygon,FALSE,TRUE,FALSE,America/New_York,3,04240 04241 04243,1840000320,40.1,11.4,11.5,15.2,11.8,12.3,14.1,11.2,7,5.5,47.9,52.1,41.5,16.2,34.8,7.5,2.7,46,39890,3.8,6.5,9.6,7.5,5.7,10.6,16.9,18.1,10.4,7.1,3.8,10.9,22054,50.2,140109,1009,20.6,13.9,36.1,30.8,12.6,6.6,19.2,42.6,61.8,5.6,88,4.3,1.1,0.3,0,0.2,6.2,2.6,20.1,21.4,2.8,20.4,11.7,10.3
,Wells,Wells,,ME,Maine,23031,York,23031,York,43.3268,-70.6335,10048,10048,67,polygon,FALSE,FALSE,TRUE,America/New_York,3,04090 04054,1840053052,53.4,6.3,10.1,9.5,8.3,11.1,16.5,19.9,12.2,6,48.4,51.6,59.1,10.7,22.5,7.7,2.65,52.2,65230,0.8,2,3.9,2.2,6.6,13.5,8.7,22.4,13.9,14.8,11.2,26,30677,83.1,270478,992,16.2,3.7,24.6,31.7,25.1,14.9,40,36.5,56.5,4,97.5,0.8,0.6,0,0,0.2,0.9,1.6,13.3,2.6,0.4,27,6.8,10.8
,Standish,Standish,,ME,Maine,23005,Cumberland,23005,Cumberland,43.7811,-70.5685,10091,10091,65,polygon,FALSE,FALSE,TRUE,America/New_York,3,04085 04084,1840053009,41.7,8.8,15.8,13.2,10.1,15.6,17.6,10.5,7,1.3,48.4,51.6,52,11.7,32.6,3.7,3.05,65.2,73295,2.8,0.8,4.2,2.7,3.1,8.4,11.2,17.8,16.4,20.4,12.2,32.6,31655,92.7,230021,1320,19.6,4.2,30.7,33,23.1,9.1,32.2,43.9,69.5,3.6,97,1.8,0.4,0.2,0,0,0.6,0.7,11,6.2,0,32.2,3.5,7.3
,Waterville,Waterville,,ME,Maine,23011,Kennebec,23011,Kennebec,44.5441,-69.6624,27123,16600,473,polygon,FALSE,TRUE,FALSE,America/New_York,3,04901 04903,1840000305,41.2,9,13.7,16.7,9.1,13.9,11.8,12.4,7,6.5,48.1,51.9,35.5,15.4,41.2,7.8,2.77,44.4,37093,6.3,8.5,7.1,9.8,6.6,9.8,14.5,13.5,11.1,8.4,4.5,12.9,19844,46.3,123911,859,17.8,8.7,33.1,29.9,13.1,15.1,28.2,40.9,54.1,8.3,91.9,2.2,2.4,0.4,0.2,0.1,2.8,2.4,21.5,20.2,0.5,16.6,7.3,8
,Falmouth,Falmouth,,ME,Maine,23005,Cumberland,23005,Cumberland,43.7476,-70.2827,11868,11868,155,polygon,FALSE,FALSE,TRUE,America/New_York,3,4105,1840052817,46.7,11.9,14.5,6.2,7.3,15.8,18.3,12.8,7.7,5.4,48.2,51.8,58.7,13,22.4,5.9,3,59.9,108547,1.6,0.6,1.6,1.9,1.9,6.1,9.3,13.1,10.2,20.9,32.6,53.5,48701,83.7,409121,1919,19.1,1.6,10.6,19.3,39.6,28.8,68.4,46,67.1,3.2,95.6,0.7,2.7,0.2,0,0,0.7,0.3,7.6,2.2,0.8,21,5.1,8.1
,Windham,Windham,,ME,Maine,23005,Cumberland,23005,Cumberland,43.7981,-70.4056,17732,17732,147,polygon,FALSE,FALSE,TRUE,America/New_York,3,4062,1840066537,39.9,13.1,10.2,11,15.7,15.8,13.8,11.8,5.8,2.6,50.1,49.9,55,14.7,25.5,4.8,3.01,65.2,72602,0.2,0.9,5.1,2.4,4.8,8.2,10.9,19.9,19.7,20,7.9,27.9,34061,85.8,231653,1373,20.9,6.5,31.4,30.7,22.6,8.7,31.3,43.4,67.4,3.1,94.5,2.1,0,0.4,0,0.1,2.9,0.4,9.6,6.6,0.2,26.7,5.2,8
,Kennebunk,Kennebunk,,ME,Maine,23031,York,23031,York,43.3972,-70.5707,11223,11223,123,polygon,FALSE,FALSE,TRUE,America/New_York,3,04043 04094,1840052870,51.3,7.3,11.8,6.9,7.3,15,16.2,17.4,11.6,6.6,48.1,51.9,62.3,11.7,17.7,8.3,2.71,58.8,73105,0.2,0.9,6.3,4.4,4.1,7,13,15.7,11.5,19.2,17.8,37,36444,76.6,284484,1454,19.6,2.7,24.1,25.2,27.2,20.8,48,43,62.7,5,97.7,0.1,1.5,0.5,0,0,0.3,0.3,16.2,3.2,1,22.9,3.5,14
,Scarborough,Scarborough,,ME,Maine,23005,Cumberland,23005,Cumberland,43.5911,-70.3682,19620,19620,159,polygon,FALSE,FALSE,TRUE,America/New_York,3,04074 04070,1840052990,45.8,10.2,14,7.2,11.3,13.5,17.7,12.8,7.8,5.6,47.5,52.5,60.7,12.9,21.8,4.6,2.97,65.6,89255,1.5,2,1,2.1,4.7,6.1,8.8,15.8,12.7,23.5,21.8,45.3,38133,79.9,336324,1608,18.4,3.1,21.1,22.7,34.6,18.5,53.1,47.9,69.1,1.5,90.4,1.5,5.2,0.4,0,0.3,2.2,2.2,10,5.1,1,19.1,4,9.1
,South Portland,South Portland,,ME,Maine,23005,Cumberland,23005,Cumberland,43.6309,-70.2895,25483,25483,816,polygon,FALSE,TRUE,FALSE,America/New_York,3,4106,1840000328,40.8,9.5,13.3,14.3,11.9,14.7,14.6,11.7,6.3,3.7,47.1,52.9,40.9,16,37.2,5.9,2.93,57.1,59515,2.9,3.5,4.5,4.8,4.3,7.7,13.4,20.5,13.9,14.6,9.9,24.5,30285,61.6,235368,1401,21.3,4.5,23.2,29.5,28.3,14.6,42.9,41,70.9,6.1,93.7,0.9,2.4,0.2,0,0.3,2.5,2.1,11.6,12.4,0.9,18.8,7.1,7.4
,Bangor,Bangor,,ME,Maine,23019,Penobscot,23019,Penobscot,44.8322,-68.7906,59107,31903,359,polygon,FALSE,TRUE,FALSE,America/New_York,3,04401 04402,1840000238,37,10.3,10.5,19.9,11.6,11.5,13.8,11,6,5.4,48.6,51.4,37.5,16.3,39.9,6.3,2.82,49.9,40071,4.2,6.4,7.7,8.8,4.2,13.3,14.1,17,9.6,8.1,6.7,14.8,21873,47.4,147032,1058,18.5,7.7,29.1,29.9,20,13.3,33.3,49.5,61.4,7.4,91.8,1.5,2.5,1.1,0,0.6,2.6,2.3,19.6,22.6,0.9,16,11.6,7.9
,Augusta,Augusta,,ME,Maine,23011,Kennebec,23011,Kennebec,44.3341,-69.7319,21994,18594,130,polygon,FALSE,TRUE,FALSE,America/New_York,3,04330 04332 04333 04336 04338,1840000302,44.8,10.9,10.1,12.6,10.5,14.1,13.4,14.2,9.3,4.8,48.3,51.7,39.2,22.6,31.9,6.3,2.8,48.9,40181,3.6,5.8,8.1,6.2,4.2,14.4,15.7,20.2,10.1,8.2,3.6,11.8,23286,52.8,142839,872,17.4,13.2,33.2,27.3,18.8,7.5,26.3,42.9,60.8,7.3,94.1,1,1.1,1.3,0,0.2,2.3,1.3,18.2,21,1.8,17.5,8.7,11.4
,Brunswick,Brunswick,,ME,Maine,23005,Cumberland,23005,Cumberland,43.9007,-69.9761,20523,20523,169,polygon,FALSE,FALSE,TRUE,America/New_York,3,4011,1840052591,43.8,8.8,12.8,13.6,10.8,13.7,13.3,12.2,7.7,7.3,47.9,52.1,46.5,15.9,32.1,5.5,2.94,54.9,58125,2.4,3.2,5.1,4.2,4.3,11.3,13.7,16.1,13,15.8,11,26.8,27223,69.1,218835,1103,17.9,6.2,22.6,27,24.3,19.9,44.2,46.6,62.4,4.7,92.7,1.7,2.2,0.1,0,0.1,3.2,2.9,15.2,10.2,0.9,19.9,7,12.5
,Auburn,Auburn,,ME,Maine,23001,Androscoggin,23001,Androscoggin,44.085,-70.2492,23033,23033,149,polygon,FALSE,TRUE,FALSE,America/New_York,3,04210 04211 04212 04223,1840000319,39,12.8,12.1,12.6,13.6,13.6,12.9,11,6.6,4.6,48.5,51.5,46.8,16.8,30.4,6,2.83,54.4,48363,1,4.9,5.8,7.8,6.4,11.3,14.2,16.6,13.6,13.5,4.9,18.4,26895,56.5,152394,1103,17.9,9.5,34.9,28.2,16.4,11,27.4,44.5,66.1,4.4,91,1,1.6,0.2,0,0.4,5.7,1.5,15.2,15.2,2,20.9,8.9,10.8
1,Portland,Portland,,ME,Maine,23005,Cumberland,23005,Cumberland,43.6773,-70.2715,206023,66882,1197,polygon,FALSE,TRUE,FALSE,America/New_York,2,04101 04102 04103 04108 04019 04109 04104 04112 04116 04122 04123 04124,1840000327,36,9.8,8.7,21,15.9,12.3,13.4,9.6,5.6,3.8,49.6,50.4,36,13.3,45.9,4.8,2.93,59.7,51430,4.9,5.5,5.8,4.9,4.8,9.7,13,16.8,12.3,12.9,9.2,22.1,28606,44,261044,1498,21.6,7.5,19,25.9,28.4,19.2,47.6,43.3,70.9,4.8,83.9,8.7,3.8,0.1,0,0.7,2.9,3.6,12.5,18.3,4.6,19.1,8.8,5.5
,Biddeford,Biddeford,,ME,Maine,23031,York,23031,York,43.4673,-70.4511,21488,21488,275,polygon,FALSE,TRUE,FALSE,America/New_York,3,04005 04006 04007,1840000342,35.6,9.4,13.4,20.1,10.8,13,11.5,10.5,6.2,5.2,48.4,51.6,39.3,16.4,38.2,6.1,2.89,58.7,49812,2.2,2.3,5.9,6.2,5.5,11.5,16.6,22.1,10.9,10.9,5.8,16.7,23725,49.1,211692,1204,20.1,11.8,35.3,28.7,16.8,7.4,24.2,44.3,67.7,5.4,92.5,2.7,2.8,0.4,0,0.1,1.5,3.8,16.9,17,3.6,22.6,9.1,9.5
,York,York,,ME,Maine,23031,York,23031,York,43.186,-70.6661,12872,12872,90,polygon,FALSE,FALSE,TRUE,America/New_York,3,03909 03902 03910 03911,1840066551,49,9,11.4,7.9,10.9,11.7,20.3,15.2,9.2,4.4,48.1,51.9,59.9,11,22.7,6.4,2.85,58.8,83072,2.7,1.9,3.7,4.6,2.7,5.4,7.7,18,14.5,18.8,19.9,38.7,40071,80.7,388062,1571,20.2,2.7,20.3,29,31.3,16.7,48,40.2,66.1,5.9,98.1,0.4,0.6,0.1,0,0.1,0.7,1,10.2,5.7,0,26.1,7.8,11.1
,Saco,Saco,,ME,Maine,23031,York,23031,York,43.539,-70.4624,19485,19485,195,polygon,FALSE,TRUE,FALSE,America/New_York,3,4072,1840000343,42.2,12.2,11.2,13.6,10.2,13.6,15.9,12.2,5.9,5.3,49,51,50.3,14.7,29.2,5.8,2.84,56.5,63750,2.2,2.4,2.3,3.8,2.2,8.6,13.4,26.1,13.2,15,10.8,25.8,30912,66.2,228279,1373,21.4,6.9,29.8,27.6,24.3,11.3,35.6,43.9,71.8,4,94.5,1,1.3,0.1,0,0,3.1,1.8,12.4,7.9,1.1,23.6,10.1,10.6
,Orono,Orono,,ME,Maine,23019,Penobscot,23019,Penobscot,44.8867,-68.7166,10914,10914,231,polygon,FALSE,FALSE,TRUE,America/New_York,3,04473 04469,1840052945,21.8,2.6,29.5,34.1,4.5,6.4,6.2,9.1,3.1,4.6,50.4,49.6,20.9,6.5,68.6,4,2.75,52.7,44427,6,5.2,12.2,6.3,4.8,8.4,13.4,12.8,9,13.3,8.7,22,10243,51.1,186398,1117,16.5,4.3,15.7,21.1,27.1,31.8,58.9,49.9,55.2,10.8,90.7,2.1,3,0.8,0,0.1,3.4,1.8,11,33.4,0.6,15.8,6.4,4.2
,Gorham,Gorham,,ME,Maine,23005,Cumberland,23005,Cumberland,43.7034,-70.4581,17147,17147,130,polygon,FALSE,FALSE,TRUE,America/New_York,3,04038 04082,1840052834,38.2,11.2,15.8,13,12,12.2,14.5,12.5,5.5,3.3,49.1,50.9,51.8,12.2,31.2,4.7,3.1,63.1,76267,0.9,1.6,2.9,3.3,4.6,7,8.2,20.2,15.8,17.4,18,35.4,33251,84.6,253905,1485,21.1,3.9,23.9,28.2,29.9,14.1,44,39.7,72.4,3.2,96,1.4,0.3,0.1,0,0.8,1.5,0.6,9.4,4.9,0.4,25.5,6,7.9
,Linthicum,Linthicum,,MD,Maryland,24003,Anne Arundel,24003,Anne Arundel,39.2088,-76.6625,10852,10852,767,polygon,FALSE,FALSE,FALSE,America/New_York,3,21090,1840005921,41.1,11.3,12.7,11.7,12.9,12.9,15.7,10.2,5.9,6.8,48.1,51.9,52.8,11.3,27.3,8.6,3.39,61.6,92886,1.3,0.5,2.1,2.3,3.1,8.7,7.2,15.3,13.2,25.7,20.8,46.5,37492,86.4,294816,1465,18.1,9.2,30.5,28.4,19.4,12.6,32,47.3,67.3,4.2,89.1,2.4,4.2,0.1,1.2,0.2,2.7,1.5,12.2,6.3,0.6,24.5,5.4,10.7
,South Laurel,South Laurel,,MD,Maryland,24033,Prince George's,24033,Prince George's,39.0603,-76.8456,27093,27093,1296,polygon,FALSE,FALSE,FALSE,America/New_York,3,20708 20709 20726,1840031498,34.3,16.2,10.5,15.8,15.4,15,13.4,8.2,3.3,2.1,49.9,50.1,45.3,13.1,37.4,4.2,3.61,62.7,72878,1.5,1.2,2.5,1.8,3.2,7.9,12.1,21.9,15.5,18.7,13.8,32.5,38053,40.6,317781,1982,21.9,11.7,21.9,26.2,24.2,16,40.2,50.5,76.7,7.4,21.3,59.4,9.1,0.3,0,8,1.9,15.4,8.7,7.3,6,34.1,11.2,7.3
,Beltsville,Beltsville,,MD,Maryland,24033,Prince George's,24033,Prince George's,39.0394,-76.9211,17890,17890,958,polygon,FALSE,FALSE,FALSE,America/New_York,3,20705 20740 20697 20704,1840005945,36,15.9,10.9,13,16.9,12.4,14.1,9.4,4.4,3.2,48.1,51.9,46.4,11.4,36.7,5.5,3.84,68.5,78144,1.1,2.4,3,2.3,3.1,5.5,8.8,21.3,17.8,24.2,10.4,34.6,35000,58.5,277162,1629,21.2,17.4,22.8,26.2,21,12.7,33.7,43.7,75.5,8,32.6,31.6,9.5,0.1,0.4,22.7,3.2,32.1,12.1,12.9,8.5,33.7,14,4.9
,Damascus,Damascus,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.2737,-77.2006,15423,15423,515,polygon,FALSE,FALSE,FALSE,America/New_York,3,20872 20882,1840005832,38.7,13.3,14.9,11.4,11.6,13.9,18.7,11.8,3.2,1.1,47.5,52.5,60.8,9.3,27.3,2.6,3.54,72.9,120775,0.5,1.1,0.8,1.4,3.4,3.3,4.4,10.8,11.1,28.7,34.6,63.3,47989,89.2,389024,1909,18.2,7.1,19.3,26.8,28.2,18.7,46.9,51.1,76,3.1,77.5,8.8,7.9,0.2,0,0.8,4.7,12.5,5.9,4.1,2.3,38.5,3,6.6
,Rockville,Rockville,,MD,Maryland,24031,Montgomery,24031,Montgomery,39.0834,-77.1553,68401,68401,1942,polygon,FALSE,TRUE,FALSE,America/New_York,3,20852 20850 20851 20847 20848 20849 20857,1840005849,38.6,12.9,10.5,13.4,15.1,14,13,10.6,6.2,4.2,47.3,52.7,51.5,11,31.6,5.8,3.21,61.6,100436,1.5,2.3,2.6,1.2,1.8,4.4,8.6,14.8,12.6,19.8,30.4,50.2,49643,57.4,497919,2065,18.6,7.9,11.1,17.9,27.4,35.7,63.1,58.9,71.1,5.3,57.9,10.7,20.7,0.3,0,6.1,4.2,15.4,8.2,7.2,9.5,32,7.8,5.4
,Lake Arbor,Lake Arbor,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.907,-76.8299,10410,10410,1282,polygon,FALSE,FALSE,FALSE,America/New_York,3,20721 20774,1840031485,39.3,11.1,12.3,12.8,14.8,11.9,17.2,13.1,4.8,2,41.7,58.3,35.9,16.2,43.9,4,3.33,59.2,96167,0.5,1.8,2.1,0.9,1.1,6.9,5.3,20.6,12.7,25.8,22.1,47.9,53685,66.2,293912,1990,21.2,2.8,17.5,33.1,28.1,18.5,46.6,42.6,75,9.2,3.5,92.2,1,0,0,1.3,2,1.4,8,9,0.5,35.5,5.2,7.3
,Urbana,Urbana,,MD,Maryland,24021,Frederick,24021,Frederick,39.3237,-77.3411,11022,11022,648,polygon,FALSE,FALSE,FALSE,America/New_York,3,21704 21754,1840024455,34.8,18.7,19.6,6.3,14.1,21.3,13.5,4,2.1,0.5,48.8,51.2,65.4,12.7,20.6,1.3,3.51,71.6,146637,0.9,0.3,1,0,1.2,2.5,2,8.3,9.1,26.4,48.3,74.7,71044,86.2,455840,2648,20.8,3.7,8.7,20.8,37.2,29.5,66.7,54.9,81.1,4.8,64.3,9.5,18.6,0.5,0,1.5,5.6,11.3,5.3,2.2,2.4,40.4,3.2,5.4
,Lanham,Lanham,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.9621,-76.8421,10511,10511,1150,polygon,FALSE,FALSE,FALSE,America/New_York,3,20706,1840026687,36.8,11.9,16.6,14,12.4,13.8,13.6,9.7,5.2,2.7,50.2,49.8,40.1,11.5,42.9,5.6,3.88,67.7,84200,4,1.2,1.2,0.8,1.4,7.6,7.9,21.8,13.8,22.2,18.1,40.3,37717,80.5,278764,1804,23.5,18.8,26.8,27.2,17.3,9.8,27.1,49.5,69.7,6.3,16.4,61.3,2.9,0,0,17.6,1.8,27.7,10.2,8.8,4.3,33.8,14.3,7.1
,Fort Washington,Fort Washington,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.7339,-77.0069,24144,24144,675,polygon,FALSE,FALSE,FALSE,America/New_York,3,20744 20749,1840005953,47.7,8.1,9.6,11.8,11.9,11.7,16.5,17.2,9.7,3.7,49.8,50.2,49.8,13.4,30.4,6.3,3.4,55.7,105726,1.7,0.6,1.3,1.9,1.9,3.9,6.5,14.8,13.6,22.6,31.3,53.9,47066,87.9,324376,1987,20.8,9.4,19.4,30.3,22.8,18,40.8,41.4,65.2,7.7,11.6,68,9.2,0,0.1,8.7,2.5,11.3,11.3,6.7,2.6,41.3,7.9,16.5
,Randallstown,Randallstown,,MD,Maryland,24005,Baltimore,24005,Baltimore,39.3723,-76.8024,35438,35438,1338,polygon,FALSE,FALSE,FALSE,America/New_York,3,21208 21133,1840005688,41.2,11.3,13.3,12.5,11.1,13.1,15.4,12.6,7.3,3.4,44.4,55.6,43.1,13.9,35.5,7.5,3.44,60.1,80120,2.4,1.1,2.7,2.4,3.3,7.5,11.7,15.6,16.1,19.8,17.4,37.2,39415,72.4,231802,1576,19.8,5.3,25.9,32.4,21.2,15.1,36.3,45.1,66.9,7.2,13.1,82.8,1.3,0.1,0,0.5,2.2,1.2,11,8.1,0.8,33.7,4.5,8.3
,Cumberland,Cumberland,,MD,Maryland,24001,Allegany,24001,Allegany,39.6515,-78.7585,49033,19707,756,polygon,FALSE,TRUE,FALSE,America/New_York,3,21502 21501 21503 21504 21505,1840005621,39.5,11.6,13.3,14.7,10.7,11.8,13,11.6,7.1,6.3,47.4,52.6,39.2,17.5,34,9.3,3.08,42.4,32825,5.3,6.2,9.4,8,10,13.7,13,16.3,8.1,6.9,3,9.9,19832,52.1,90275,737,17.5,10.3,40.6,30.2,10.9,8,18.9,41.1,55.7,11.1,89.3,6.6,0.4,0.1,0,0.3,3.3,2,23.1,24.4,1.1,17.7,7.6,9.7
,Pikesville,Pikesville,,MD,Maryland,24005,Baltimore,24005,Baltimore,39.3893,-76.702,33426,33426,1045,polygon,FALSE,FALSE,FALSE,America/New_York,3,21153 21208 21209 21022 21282,1840005687,44.5,13.3,9.4,10.2,11.7,12.1,12,13.1,9.2,8.9,45,55,53.7,11.9,25.6,8.9,2.99,53.4,81170,2.3,2.7,2,3.1,3.7,6.2,10.5,14.7,14.8,16.1,24,40.1,43651,67.8,307912,1366,16.5,3.5,15.9,18.3,31.3,31,62.3,47,62.9,4,74.8,17.6,5.1,0.1,0,0.4,2,4.3,12.7,7.4,6.9,27.3,3.4,6.4
,Adelphi,Adelphi,,MD,Maryland,24033,Prince George's,24033,Prince George's,39.0017,-76.9649,15898,15898,2260,polygon,FALSE,FALSE,FALSE,America/New_York,2,20783 20903 20787,1840005944,33.9,12.8,10.2,20.7,16.3,13.3,11.9,8.2,4.4,2.1,52.9,47.1,40.2,12,44.2,3.5,3.64,65.2,68064,1.8,1.7,3.3,2.8,3.2,6.2,13.9,23.2,14.5,19,10.3,29.3,29552,43.5,264412,1562,24.1,22.2,22.7,22.8,18.4,13.9,32.3,54.6,75.6,4.4,17.2,35.7,7.8,0.2,0,35.5,3.6,43.2,6,11.2,19.2,35.8,22.9,3.1
,Glenn Dale,Glenn Dale,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.9833,-76.804,13606,13606,734,polygon,FALSE,FALSE,FALSE,America/New_York,3,20720 20706 20769,1840005955,42,10.5,14.4,11.7,11,13.5,17.1,14.3,5,2.6,49.5,50.5,50.6,12.6,32.2,4.6,3.43,70.4,123023,1.1,1.5,1.8,0.1,0.6,2.5,5.3,13.7,11.5,21.9,40.2,62.1,50583,83.2,386048,2298,19,7.2,14.7,29.1,24.2,24.8,49,52,73.6,5.4,25.3,58.5,9.6,0,0.1,1.8,4.7,10.9,11.9,5.6,0.6,36.7,6.8,9.4
,Oxon Hill,Oxon Hill,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.7887,-76.9733,18077,18077,1054,polygon,FALSE,FALSE,FALSE,America/New_York,3,20744 20745 20750,1840026688,41,9.6,9.5,15.3,14.3,13.6,13.8,12.9,6.9,4.2,49.2,50.8,36.5,16.2,41.2,6.1,3.38,54.1,73722,3.5,1.8,2,3.2,2.2,4.2,12.1,22.6,13.4,23,12,35,38155,56.6,226036,1571,21.4,13.9,31,30,14.7,10.5,25.2,41.8,70.4,11.4,9.4,73.2,4.2,0.1,0,8.9,4.3,14.8,11.8,10.2,4,34.9,9.8,10
,Chillum,Chillum,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.9667,-76.979,36047,36047,4095,polygon,FALSE,FALSE,FALSE,America/New_York,2,20783 20782 20712,1840005948,33.1,15.1,11.6,16.4,19.3,12.6,10.2,8.5,3.7,2.5,49.5,50.5,30.2,11.9,54,3.9,3.83,55.1,58850,2.5,1.3,2.6,4.8,2.9,11.2,15.4,21.3,15.6,14.2,8.1,22.3,29440,39,248048,1510,22.3,32.9,27.6,21.3,11.7,6.4,18.1,48.8,73.6,5.9,10.3,45.6,2.2,0.8,0.1,39.4,1.7,47.8,7.7,13.4,15.5,36.6,25.8,3.2
,Crofton,Crofton,,MD,Maryland,24003,Anne Arundel,24003,Anne Arundel,39.0144,-76.68,28282,28282,1651,polygon,FALSE,FALSE,FALSE,America/New_York,3,21054 21114,1840005909,35.9,15.1,13.2,10.8,16.4,15.1,13.3,9.7,4.4,2,49.2,50.8,57.1,11.5,26.9,4.5,3.16,63.8,118197,0.2,0.7,0.6,0.6,0.4,2.6,6.6,10.9,15.4,28.5,33.6,62.1,59628,78.7,370652,1904,18,2.8,13.4,24.3,34.3,25.1,59.4,46.4,76.5,3.5,75.1,13.6,5,0.1,0,1,5.2,5.6,6.3,1.7,1.2,35,3.1,12
,Odenton,Odenton,,MD,Maryland,24003,Anne Arundel,24003,Anne Arundel,39.0661,-76.6939,40479,40479,1057,polygon,FALSE,FALSE,FALSE,America/New_York,3,21054 21113,1840005912,36,13.8,12.6,13,16.4,15.3,12.9,8.2,5.2,2.6,46.9,53.1,50.8,15.1,28.6,5.5,3.22,62.5,97469,2.3,1,1.3,2.2,1.5,4.9,6.7,15.2,16.5,24.9,23.6,48.5,51227,69,315421,1768,19,5.2,19.6,27.4,26.9,21,47.9,47.7,74.3,4.7,63.4,24.6,4.2,0.3,0,2,5.5,7.5,8.1,4.9,1.5,32,4.5,15.6
,Greenbelt,Greenbelt,,MD,Maryland,24033,Prince George's,24033,Prince George's,38.9953,-76.8885,23489,23489,1454,polygon,FALSE,TRUE,FALSE,America/New_York,3,20737 20770 20768 20771,1840005974,33.7,14.7,12.5,15.6,18.4,12.4,12.5,9.6,2.9,1.4,47.4,52.6,35.7,17.4,44.2,2.7,3.33,58.4,72846,1.8,0.9,2.8,2.8,2.9,7.1,11.9,21.4,15.9,19.7,12.9,32.6,40670,45.4,200413,1386,18.8,9.4,19.2,27.2,23.4,20.8,44.2,54.1,77.9,6.2,29.6,51.4,7.9,0.1,0,7.9,3.1,15.2,7.6,9.3,6.2,34,12.8,4.9
